Title	Date	Text
Project Overlord	1992-08-12	Infiltrate the Iraqi military command center and disable the radar system before the air strike.
The Trojan Horse	1994-04-20	Deliver the 'infected' software to the Iranian nuclear facility through a third-party vendor.
Operation Ghost Ship	1996-01-15	Track the mysterious cargo ship carrying the stolen Soviet nuclear warheads in the Black Sea.
The Millennium Bug	1998-07-10	Test the resilience of the global financial system against the predicted Y2K software glitch.
Operation Silent Night	2000-12-24	Prevent the planned terrorist attack on the Vatican during the Christmas Eve midnight mass.
The Phoenix Project	2002-05-18	Rebuild the intelligence network in Afghanistan following the fall of the Taliban regime.
Operation Digital Fortress	2004-10-05	Defend the NSA mainframe against a massive brute-force attack from a Chinese hacking group.
The Enigma Code	2006-03-22	Decipher the ancient code found on the mysterious artifact recovered from the Iraqi desert.
Operation Skyfall	2010-11-12	Protect the MI6 headquarters from a coordinated cyber and physical attack by a rogue agent.
The Snowden Leak	2013-06-05	Assess the damage caused by the unauthorized disclosure of the PRISM surveillance program.
Operation Shadow Play	2018-09-30	Disrupt the Russian disinformation campaign targeting the upcoming mid-term elections.
The Quantum Leap	2024-02-14	Secure the first functional quantum computer from the secret research facility in Shanghai.
